0	0.5	6.62	6.87	7.06	8.10	7.48	7.32	7.76	
0.5	1.0	9.62	10.05	10.31	11.45	11.14	11.20	11.90	
1	1.5	12.34	12.92	13.21	14.57	14.29	14.90	15.95	
1.5	2.0	15.04	15.79	16.13	17.72	17.42	18.67	19.94	
2	2.5	17.77	18.68	19.08	20.84	20.56	22.37	23.98	
2.5	3.0	20.20	21.33	21.79	23.99	23.70	25.55	27.56	
3	3.5	22.57	23.99	24.50	27.12	26.84	28.75	31.25	
3.5	4.0	25.00	26.65	27.19	30.33	30.00	31.97	34.83	
4	4.5	27.42	29.31	29.89	33.48	33.12	35.15	38.50	
4.5	5.0	29.85	31.98	32.61	36.59	36.26	38.31	42.08	
5	5.5	31.55	33.99	34.65	38.72	39.00	40.93	44.70	
5.5	6.0	33.20	36.06	36.78	40.95	41.76	43.59	47.34	
6	6.5	34.92	38.15	38.92	43.18	44.52	46.23	49.96	
6.5	7.0	36.57	40.23	41.01	45.38	47.27	48.87	52.61	
7	7.5	38.28	42.25	43.06	47.52	50.03	51.51	55.23	
7.5	8.0	39.99	44.34	45.19	49.74	52.80	54.17	57.86	
8	8.5	41.64	46.41	47.31	51.97	55.54	56.80	60.49	
8.5	9.0	43.35	48.50	49.43	54.10	58.29	59.45	63.12	
9	9.5	45.00	50.52	51.49	56.32	61.07	62.09	65.75	
9.5	10.0	46.71	52.60	53.60	58.53	63.80	64.74	68.39	
10	11.0	48.94	54.76	55.97	61.37	66.12	67.37	71.67	
11	12.0	51.15	56.92	58.29	64.19	68.48	70.02	74.86	
12	13.0	53.28	59.01	60.56	67.01	70.86	72.67	78.08	
13	14.0	55.52	61.18	62.90	69.85	73.22	75.31	81.37	
14	15.0	57.74	63.32	65.25	72.68	75.54	77.96	84.57	
16	16.0	59.81	65.49	67.59	75.20	77.90	80.60	87.46	
16	17.0	61.78	67.57	69.92	77.81	80.26	83.24	90.34	
17	18.0	63.87	69.74	72.21	80.40	82.64	85.88	93.23	
18	19.0	65.95	71.87	74.54	83.00	85.03	88.51	96.12	
19	20.0	68.01	74.03	76.89	85.60	87.31	91.17	99.07	
20	21.0	69.94	76.11	79.23	87.92	89.61	93.81	101.89	
21	22.0	71.96	78.29	81.56	90.11	91.89	96.45	104.72	
22	23.0	73.95	80.44	83.90	92.41	94.21	99.10	107.54	
23	24.0	75.88	82.60	86.17	94.71	96.43	101.74	110.37	
24	25.0	77.89	84.68	88.51	97.00	98.71	104.45	113.19	
25	26.0	79.89	86.84	90.86	99.22	101.01	107.10	116.03	
26	27.0	81.81	88.99	93.20	101.50	103.31	109.74	118.84	
27	28.0	83.82	91.16	95.53	103.81	105.52	112.38	121.72	
28	29.0	85.83	93.23	97.81	106.10	107.83	115.03	124.55	
29	30.0	87.83	95.40	100.14	108.33	110.12	117.67	127.37	
30	99999	87.83+((n-30)*2.93)	95.40+((n-30)*3.18)	100.14+((n-30)*3.34)	108.33+((n-30)*3.61)	110.12+((n-30)*3.67)	117.67+((n-30)*3.92)	127.37+((n-30)*4.25)	
