0	0.5	6.7	7.3	7.5	9.8	12.7	15.9	18.2	28.2	
0.5	1	9.8	11.1	11.8	14.3	17.3	20.9	23.6	37.3	
1	1.5	10.8	12.0	12.8	15.2	21.8	25.5	29.1	46.4	
1.5	2	11.7	13.0	13.7	16.2	25.5	30.0	34.5	55.5	
2	2.5	15.9	17.3	18.4	20.9	30.0	35.5	40.0	64.5	
2.5	3	16.9	18.3	19.5	22.0	34.5	40.9	45.5	73.6	
3	3.5	17.9	19.3	20.6	23.1	39.1	45.5	50.9	82.7	
3.5	4	19.0	20.4	21.7	24.2	42.7	50.0	55.5	91.8	
4	4.5	20.0	21.4	22.8	25.3	47.3	54.5	60.9	100.9	
4.5	5	21.0	22.5	23.9	26.4	51.8	59.1	66.4	110.0	
5	5.5	16.3	22.9	15.5	26.4	55.5	64.5	70.0	119.1	
5.5	6	16.3	22.9	15.5	26.4	60.0	69.1	75.5	128.2	
6	6.5	19.0	26.7	18.1	30.8	64.5	74.5	80.9	137.3	
6.5	7	19.0	26.7	18.1	30.8	69.1	79.1	86.4	146.4	
7	7.5	21.7	30.5	20.7	35.2	72.7	84.5	91.8	155.5	
7.5	8	21.7	30.5	20.7	35.2	77.3	89.1	106.4	164.5	
8	8.5	24.4	34.4	23.3	39.6	81.8	94.5	101.8	173.6	
8.5	9	24.4	34.4	23.3	39.6	86.4	99.1	106.4	182.7	
9	9.5	27.1	38.2	25.9	44.0	90.9	103.6	110.9	191.8	
9.5	10	27.1	38.2	25.9	44.0	98.2	108.2	116.4	200.9	
10	10.5	26.0	29.0	33.4	30.7	102.7	113.6	121.8	209.1	
10.5	11	26.8	29.8	32.5	29.8	106.4	118.2	127.3	216.4	
11	11.5	29.2	32.6	35.4	32.6	110.9	123.6	132.7	224.5	
11.5	12	29.2	32.6	35.4	32.6	115.5	128.2	138.2	231.8	
12	12.5	31.7	35.3	38.4	35.3	120.0	133.6	143.6	240.0	
12.5	13	31.7	35.3	38.4	35.3	123.6	138.2	149.1	247.3	
12	13.5	34.1	38.0	41.4	38.0	128.2	143.6	154.5	255.5	
13.5	14	34.1	38.0	41.4	38.0	132.7	148.2	160.0	262.7	
14	14.5	36.5	40.7	44.3	40.7	136.4	153.6	165.5	270.9	
14.5	15	36.5	40.7	44.3	40.7	140.9	158.2	170.9	278.2	
15	15.5	39.0	43.4	47.3	43.4	145.5	163.6	176.4	286.4	
15.5	16	39.0	43.4	47.3	43.4	149.1	168.2	181.8	293.6	
16	16.5	41.4	46.1	50.2	46.1	153.6	173.6	187.3	301.8	
16.5	17	41.4	46.1	50.2	46.1	158.2	178.2	192.7	309.1	
17	17.5	43.8	48.8	53.2	48.8	162.7	183.6	198.2	317.3	
17.5	18	43.8	48.8	53.2	48.8	166.4	188.2	203.6	324.5	
18	18.5	46.3	51.5	56.1	51.5	170.9	193.6	209.1	332.7	
18.5	19	46.3	51.5	56.1	51.5	175.5	198.2	214.5	340.0	
19	19.5	48.7	54.3	59.1	54.3	179.1	203.6	220.0	348.2	
19.5	20	48.7	54.3	59.1	54.3	183.6	208.2	225.5	355.5	
20	21	64.0	71.2	77.4	84.2	189.1	213.7	231.0	361.5	
21	22	67.0	74.6	81.1	88.2	194.6	219.2	236.5	367.5	
22	23	70.1	77.9	84.8	92.2	200.1	224.7	242.0	373.5	
23	24	73.1	81.3	88.4	96.2	205.6	230.2	247.5	379.5	
24	25	76.2	84.7	92.1	100.2	211.1	235.7	253.0	385.5	
25	26	79.2	88.1	95.8	104.2	216.6	241.2	258.5	391.5	
26	27	82.3	91.5	99.5	108.3	222.1	246.7	264.0	397.5	
27	28	85.3	94.9	103.2	112.3	227.6	252.2	269.5	403.5	
28	29	88.3	98.3	106.9	116.3	233.1	257.7	275.0	409.5	
29	30	91.4	101.7	110.6	120.3	238.6	263.2	280.5	415.5	
30	99999	91.4+((n-30)*2.6)	101.7+((n-30)*2.9)	110.6+((n-30)*3)	120.3+((n-30)*3.5)	238.6+((n-30)*4)	263.2+((n-30)*5)	280.5+((n-30)*5.5)	415.5+((n-30)*6)	
